owner.id,owner.language,owner.customFields.business,owner.customFields.city,owner.customFields.country,owner.customFields.insurance,owner.customFields.isCompany,owner.customFields.nac,owner.customFields.province,owner.created,owner.updated
692ff7b03cc1e80cdbdd7f09,en,,Collioure,France,,,French,Côte Vermeille,2025-12-03 09:41:20,2026-02-26 12:48:03
699ece77bb6770d52ec69530,en,,Parcent,España,,,British,Alicante,2026-02-25 11:27:03,2026-02-27 12:46:58
69247e85485654a697f0bb3f,es,,Pedreguer,España,SIN SEGURO ADICIONAL,,Spanish,Alicante,2025-11-24 16:49:25,2026-02-26 09:37:07
69247e6d7f9fef26201d9d3c,en,,Jávea,España,SIN SEGURO ADICIONAL,,British,Alicante,2025-11-24 16:49:01,2026-02-26 10:05:24
69247e807f9fef26201df12c,en,,Denia,España,SIN SEGURO ADICIONAL,,German,Alicante,2025-11-24 16:49:20,2026-02-26 09:38:37
69247e747f9fef26201dba1b,en,,Jávea,España,SIN SEGURO ADICIONAL,,British,Alicante,2025-11-24 16:49:08,2026-02-26 10:06:07
69247e73485654a697f060cb,en,,London,United Kingdom,Seguro Incluido,,British,Surrey,2025-11-24 16:49:07,2026-02-26 10:08:21
69247e7e485654a697f0b1d9,en,,Jávea,España,Seguro Incluido,,British,Alicante,2025-11-24 16:49:18,2026-02-26 10:08:50
69247e7a485654a697f0a7c0,en,,Denia,España,Seguro Incluido,,German,Alicante,2025-11-24 16:49:14,2026-02-26 09:43:15
69413b641f8ba958b9e42836,es,,Ondara,España,,,Spanish,Alicante,2025-12-16 11:58:44,2026-02-26 09:43:57
69247e817f9fef26201df28c,en,,Crowborough,United Kingdom,,,British,East Sussex,2025-11-24 16:49:21,2026-02-26 09:45:11
69247e757f9fef26201dbacd,es,,La Jara,España,Seguro Incluido,,Spanish,Alicante,2025-11-24 16:49:09,2026-02-26 10:11:31
69247e83485654a697f0b987,es,,Denia,España,SIN SEGURO ADICIONAL,,Spanish,Alicante,2025-11-24 16:49:23,2026-02-27 12:23:25
69247e787f9fef26201dbf04,en,,Denia,España,Seguro Incluido,,British,Alicante,2025-11-24 16:49:12,2026-02-26 09:47:59
69247e7d485654a697f0b181,en,,Witterswil,Suiza,Seguro Incluido,,Swiss,Soleura,2025-11-24 16:49:17,2026-02-26 09:50:25
69247e687f9fef26201d953c,es,,Madrid,España,SIN SEGURO ADICIONAL,,Spanish,Madrid,2025-11-24 16:48:56,2026-02-26 09:51:11
69247e767f9fef26201dbc1d,en,,Moraira,España,Seguro Incluido,true,Spanish,Alicante,2025-11-24 16:49:10,2026-02-26 09:51:36
69247e677f9fef26201d90b0,en,,Jávea,España,Seguro Incluido,,Belgian,Alicante,2025-11-24 16:48:55,2026-02-26 10:14:02
69247e87485654a697f0beaf,es,,Denia,España,Seguro Incluido,,French,Alicante,2025-11-24 16:49:27,2026-02-26 09:54:49
69247e6e485654a697f04b8c,en,,Moraira,España,,,British,Alicante,2025-11-24 16:49:02,2026-02-26 09:55:12
69247e87485654a697f0be57,en,,Ashford,United Kingdom,Seguro Incluido,,British,Middlesex,2025-11-24 16:49:27,2026-02-26 09:55:38
